학생,답안,거듭제곱의 곱셈,거듭제곱의 나눗셈2,단위의 이해,거듭제곱의 나눗셈1,수의 나눗셈,정오답,등호 오류,식 오류,단위 혼동,나눗셈 괄호 오류
172,0.8KB \\ 36MB = 2^12 \times 3^2 \\ 3^2 \times 2^20 \\ 2^8B = 0.8KB,0,0,0,0,0,0,0,0,0,0
173,36MB = 2^10KB \times 36 = 2^10 \times 2^2 \times 3^2KB = 2^12 \times 3^2KB \\ 2^12 \times 3^2KB = 2^10B \times 2^12 \times 3^2 = 2^22 \times 3^2B = 9 \times 2^22B \\ { 9 \times 2^22 }/{ 9 \times 2^20 } = 2^22/2^20 = 2^2 = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
174,36MB = 2^2 \times 3^2 \times 2^10KB = 2^12 \times 3^2KB \\ 2^12 \times 3^2 \times 2^10 \\ 3^2 \times 2^20 \times 2^2 = 2^22 \times 3^2 \\ 3^2 \times 2^20KB = 8초 \\ 2^2 = 4 \\ 4초,1,1,1,0,0,1,0,1,0,0
175,1MB = 2^10KB = 2^10 \times 2^10B이다  36MB = 2^20 \times 36 = 2^20 \times 3^2 \times 2^2 = 2^22 \times 3^2B 이다  1초당 내려받는 자료의 양은 9 \times 2^20B이므로 36MB를 9 \times 2^20B로 나누면 36MB/{ 9 \times 2^20B } = { 9 \times 2^22 }/{ 9 \times 2^20 } = 4이므로 4초 걸린다 \\ 4초,1,1,1,0,0,1,0,0,0,0
176,1KB = 2^10B \\ 1MB = 2^10KB \\ 1MB = 2^10 \\ 1MB = 2^10KB \\ 2^10B = 2^20B \\ 36MB인 자료를 내려받을 때 36MB = 36 \times 2^20 \times B = { 9 \times 2^20 \times B } \times 4 \\ 9 \times 2^20가 1초 걸리므로 9 \times 2^20 \times B \times 4는 4초 걸린다 \\ 4,1,1,1,0,0,1,0,0,0,0
177,9 \times 2^20B \times x = 36 \times 2^10 \times 2^10B \\ 9 \times 2^20B \times x = 36 \times 2^20B \\ 4초,1,1,1,0,0,1,0,0,0,0
178,1KB = 2^10B \\ 1MB = 2^10KB \\ 36MB = 36 \times 2^10KB = 36 \times 2^20B \\ 36 \times 2^20B짜리 자료 \\ 1초당 9 \times 2^20B \\ 36 \div 9 = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
179,3x - 2A + 2B = 1 + 2B \\ 5x + 4y,0,0,0,0,0,0,0,0,0,0
180,,0,0,0,0,0,0,0,0,0,0
181,1KB = 2^10B \\ 1MB = 2^10KB \\ 9 \times 2^20B = 3^2 \times 2^10KB = 3^2MB \\ 2초,0,0,0,1,0,0,0,0,0,0
182,36 = 2^2 \times 3^2 \\ 2^12 \times 9KB = 2^22 \times 9B \\ 2^22 \times 9 \div 2^20 \times 9 = 2^{ 22 - 20 } \times 9^{ 1 - 1 } = 2^2 \times 9^0 = 2^2 \times 1 = 4 \times 1 = 4  답 = 4초,1,1,1,0,0,1,0,0,0,0
183,,0,0,0,0,0,0,0,0,0,0
184,2^20 \times 36 = 9 \times 2^20 \times K \\ K = 4,1,1,1,0,0,1,0,0,0,0
185,9^20 =  9 \times 2^10 \times 2^10 \\ 36/9 = 4 \\ 4초,0,0,0,1,1,1,0,0,0,0
186,4초,0,0,0,0,0,1,0,0,0,0
187,,0,0,0,0,0,0,0,0,0,0
188,9 \times 2^20B = 9 \times 2 = 18^20B = 18 \times 36 = 648 = 648^20B초,0,0,0,0,0,0,1,1,0,0
189,50^2,0,0,0,0,0,0,0,0,0,0
190,36 \times 2^10KB = 2^2 \times 3^2 \times 2^10KB = 2^12 \times 3^2KB = 2^22 \times 3^2B \\ 1초: 2^20 \times 3^2B \\ 2^22 \times 3^2B \\ 2^2초 \\ 4초,1,1,1,0,0,1,0,0,0,0
191,1MB = 2^10 \times 2^10B = 2^20B \\ 2^22 \times 3^2 = 2^20 \times 3^2 \times k \\ k초동안 다운로드 \\ k = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
192,1KB = 2^10B \\ 1MB = 2^10B \\ 36MB = 2^12 \times 3^2KB \\ 2^12 \times 3^2KB = 2^22 \times 3^2B \\ 1초당 내려받는 자료 용량 =  9 \times 2^20B \\ { 2^22 \times 3^2 } \div { 2^20 \times 3^2 } = 2^2 \\ 4초,1,1,1,0,0,1,0,0,0,0
193,2^10 \times 2^10 \times 36 \div 9 \times 2^20 = 2^22 \times 9 \div 9 \times 2^20 = 2^2 = 4,1,1,1,0,0,1,0,0,0,1
194,2^20 \times 3^2B \times a = 2^2000 \times 3^200b \\ a = 100 \\ 100초,0,0,0,0,0,0,0,0,0,0
195,36MB = { 36 \times 2^10 } \times 2^10 = { 2^2 \times 3^2 \times 2^10 } \times 2^10 = 2^22 \times 3^2(B) \\ { 2^22 \times 3^2 }/{ 3^2 \times 2^20 } = 2^2 = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
196,2^10 \times 2^10 = 2^20 \\ 1MB = 2^20KB \\ 36MB = 2^2 \times 3^2 \times 2^10KB = 2^12 \times 3^2KB \\ 9 \times 2^20B = 3^2 \times 2^20 \times 2^20KB = 3^2 \times 2^40KB \\ { 2^12 \times 3^2KB }/{ 3^2 \times 2^40KB } = 1/2^28 \\ 1/2^28초,1,0,1,0,0,0,0,0,0,0
197,36MB = 2^22 \times 3^2B = 4초 \\ 4초,1,1,1,0,0,1,1,0,0,0
198,20초,0,0,0,0,0,0,0,0,0,0
199,1초: 9 \times 2^20B 전체는 36MB \\ 36MB = 36 \times 2^10KB \\ 36 \times 2^10KB = 36 \times 2^10 \times 2^10B \\ { 36 \times 2^10 \times 2^10 }/{ 9 \times 2^20 } = 4  답: 4초,1,1,1,0,0,1,0,0,0,0
200,36 \times 2^10 \times 2^10 \times 1/{ 9 \times 2^20 } = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
201,1초 = 9 \times 2^20B \\ 36MB \\ 36 \times 2^10KB \\ 36 \times 2^20B \\ 4초,1,1,1,0,0,1,0,0,0,0
202,1KB = 2^10B \\ 1MB = 2^10KB \\ 1MB = 4^20B \times 2 \\ 36MB = { 2^2 \times 3^2 }MB = 2^22 \times 3^2B,1,0,0,0,0,0,0,0,0,0
203,{ 2^20 \times 36 } \div { 9 \times 2^20 } = 4 \\ 4,1,1,1,0,0,1,0,0,0,0
204,,0,0,0,0,0,0,0,0,0,0
205,36MB = 9 \times 2^22B \\ { 9 \times 2^22 } \ 9 \times 2^20 = 4 \\ 4초,1,1,1,0,0,1,0,0,0,1
206,36MB = 36 \times 2^10KB \\ 36 \times 2^10KB = 36 \times 2^10 \times 2^10B = 36 \times 2^20B \\ 36 = 9 \times 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
207,,0,0,0,0,0,0,0,0,0,0
208,36 = 2^2 \times 3^2 \\ 2^2 \times 3^2 \times 2^10 = 2^12 \times 3^2 \\ 2^12 \times 3^2 \times 2^10 = 2^22 \times 3^2 \\ 2^22 \times 3^2 \div 3^2 \times 2^20 = 2^2 \\ 4초,1,1,1,0,0,1,0,0,0,1
209,1MB = 2^10 \times 2^10B = 2^20B \\ 36MB = 2^2 \times 3^2 \times 2^20B = 2^22 \times 3^2B \\ { 2^22 \times 3^2 } \div { 9 \times 2^20 } = 2^2초 \\ 4초,1,1,1,0,0,1,0,0,0,0
210,36MB = 2^12 \times 3^2KB \\ 2^12 \times 3^2KB = 2^22 \times 3^2B \\ 1초당 9 \times 2^20B = 3^2 \times 2^20B 내려받을 수 있다  3^2 \times 2^22B를 내려받는 시간은 1 : 2^20 \times 3^2 = \box : 2^22 \times 3^2 \\ 2^20 \times 3^2 \times \box = 2^22 \times 3^2 \\ \box = 2^2 \\ 4초,1,1,1,0,0,1,0,0,0,0
211,36MB = 2^10 \times 2^10B =2^20B \\ 36 \times 2^20 = 2^22 \times 9 \times B \\ 4초,1,1,1,0,0,1,0,0,0,0
212,20,0,0,0,0,0,0,0,0,0,0
213,36MB = 2^10 \times 36KB = 2^20 \times 36B \\ 4초,1,1,1,0,0,1,0,0,0,0
214,{ 2^2 \times 3^2 \times 2^20 }/{ 9 \times 2^20 } = 4,1,1,1,0,0,1,0,0,0,0
215,2^2 \times 3^2 \times 2^20 - 9 \times 2^20 = 4 \\ 4초,1,1,1,0,0,1,0,1,0,0
216,,0,0,0,0,0,0,0,0,0,0
217,36MB = 36 \times 2^10KB \\ 36 \times 2^10KB = 36 \times 2^20B \\ { 36 \times 2^20 } \div { 9 \times 2^20 } =4초,1,1,1,0,0,1,0,0,0,0
218,36MB = 36 \times 2^10KB = 2^12 \times 3^2KB \\ 2^12 \times 3^2 \times 2^10 = 2^22 \times 3^2B  답 = 2^22 \times 3^2초,1,0,0,0,0,0,0,0,0,0
219,2^20 \times 2^2 \times 3^2 \\ { 2^22 \times 3^2 }/{ 3^2 \times 2^20 } \\ 4초,1,1,1,0,0,1,0,0,0,0
220,1B = 1/2^10KB = 1/2^20MB \\ 1KB = 1/2^10MB \\ MB = 2^20B \\ 36MB = 3^2 \times 2^22B \\ { 3^2 \times 2^22 }B/{ 9 \times 2^20 } = 4초 \\ 4초,1,1,1,0,0,1,0,0,0,0
221,4초,0,0,0,0,0,1,0,0,0,0
222,36MB = 2^2 \times 3^2MB \\ 36MB = 2^2 \times 3^2 \times 2^10 = 2^12 \times 3^2 = 2^12 \times 3^2 \times 2^10 = 2^22 \times 3^2 \\ { 2^22 \times 3^2 }/{ 2^20 \times 3^2 } = 2^2 = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
223,36 = 2^2 \times 3^2 \\ 3^2 \times 2^20B \\ 답 = 10초,0,0,0,0,0,0,0,0,0,0
224,,0,0,0,0,0,0,0,0,0,0
225,2^2 \times 3^2 \times 2^10 \\ 2^12 \times 3^2 \times 2^10 \\ 2^22 \times 3^2 \\ { 2^22 \times 3^2 }/{ 3^2 \times 2^2 } = 2^20 \\ 2^20초,1,0,1,0,0,0,0,0,0,0
226,36MB = 2^2 \times 3^2 \times 2^10KB = 2^12 \times 3^2KB = 2^12 \times 3^2 \times 2^10B = 2^22 \times 3^2B \\ { 2^22 \times 3^2B }/{ 3^2 \times 2^20B } = 2^2 = 4  답 = 4초,1,1,1,0,0,1,0,0,0,0
227,2^10 \times 2^10 \times 2^5 = 2^25B \\ 2^25/{ 9 \times 2^20 } = 32/9초,0,0,0,0,0,0,0,0,0,0
228,2^20 \times 36 = 2^20 \times 2^2 \times 3^2 = 2^22 \times 3^2 \\ {2^22 \times 3^2 }/{ 3^2 \times 2^20 } = 2^2 = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
229,9 \times 2^20B = 9MB  답 = 4초,0,0,0,1,1,1,0,0,0,0
230,1KB = 2^10B \\ 1MB = 2^10KB \\ 1MB = 2^20B \\ { 9 \times 2^22 }/{ 9 \times 2^20 } = 4,1,1,1,0,0,1,0,0,0,0
231,,0,0,0,0,0,0,0,0,0,0
232,1KB = 2^10B \\ 1MB = 2^10KB \\ MB>KB>B \\ 36MB \\ 2^10 \times 36 \\ 2^10 \times 2^2 \times 3^2 = 2^12 \times 3^2,0,0,0,0,0,0,0,0,0,0
233,2^12 \times 3^2,0,0,0,0,0,0,0,0,0,0
234,36MB = 2^10 \times 2^2 \times 3^2 = 2^12 \times 3^2KB \\ 2^12 \times 3^2 \times 2^10 = 2^22 \times 3^2B \\ 2^22 \times 3^2 \times 1/{ 3^2 \times 2^20 } = 2^2 =4  답 = 4초,1,1,1,0,0,1,0,0,0,0
235,1MB = 2^10KB \\ 1KB = 2^10B \\ 36MB = 36 \times 2^10KB = 2^2 \times 3^2 \times 2^10KB = 2^12 \times 3^2KB \\ 2^12 \times 3^2KB = 2^12 \times 3^2 \times 2^10B = 2^22 \times 3^2B \\ { 2^22 \times 3^2 } \ div 9 \times 2^20 = { 2^22 \times 3^2 } \div 3^2 \times 2^20 = 2^2 = 4  답 = 4초,1,1,1,0,0,1,0,0,0,1
236,1KB = 2^10B \\ 1MB = 2^10KB \\ 1MB = 2^20B \\ 2^20 \times 2^2 \times 3^2 \\ 2^22 \times 3^2 \\ 11초,1,0,1,0,0,0,0,0,0,0
237,9 \times 2^20B = 2^10 \times { 9 \times 2^10 }B = 9 \times 2^10KB = 9MB \\ 36MB/9MB = 4초,0,0,0,1,1,1,0,0,0,0
238,36MB = 3^2 \times 2^12KB \\ 3^2 \times 2^12KB = 3^2 \times 2^22B \\ {9 \times 2^22 }/{ 9 \times 2^20 } = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
239,9 \times 2^20 \times 1/2^10 = 9 \times 2^10 \\ 9 \times 2^10 \times 1/2^10 = 9 \\ 36 \div 9 = 4 \\ 4초,0,0,0,1,1,1,0,0,0,0
240,2^10 \times 2^10 = 2^{ 10 + 10 } = 2^20 \\ 36 \times 2^20 = 3^2 \times 2^2 \times 2^20 = 3^2 \times 2^22 \\ { 3^2 \times 2^22 }/{ 9 \times 2^20 } = 2^2 = 4  답 = 4초,1,1,1,0,0,1,0,0,0,0
241,4초,0,0,0,0,0,1,0,0,0,0
