학생,답안,등식의 성질,(다항식)x(단항식),단항식의 곱셈,(다항식)÷(단항식),단항식의 나눗셈,정오답,등호 오류
197,A = ( 4x^{2}y + 2xy + 6 ) \times 2/3y = 8x^{2}/3 + 4x/3 + 4/y,0,1,1,0,0,0,0
198,A \times 2/3y= 4x^{2}y + 2xy + 6 \\ 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
199,,,,,,,,
200,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,0,0,1,1,1,0
201,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = 8/3,0,0,0,0,0,0,0
202,A \times 2/3y= 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
203,A \div 3y/2 = 4x^{2}y + 2xy + 6 = A = 6x^{2}y^{2} + 3xy^{2} + 9y,0,1,1,0,0,1,1
204,A \times 2/3y= 4x^{2}y + 2xy + 6 = 6x^{2}y^{2} + 3xy^{2} + 9y,0,1,1,0,0,1,1
205,6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
206,( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
207,,,,,,,,
208,A \div 3y/2 = 4x^{2}y + 2xy + 6 = 2A/3y = ( 4x^{2}y + 2xy + 6 ) \\ 2A = 12x^{2}y^{2} + 6xy^{2} + 8y \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,0,1,1,0,0,1,1
209,A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
210,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = 3y/2 ( 4x^{2}y + 2xy + 6 ) \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
211,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,0,0,1,1,1,0
212,2y/3 A = 6x^{2}y^{2} + 3xy^{2} +,1,0,1,0,0,1,0
213,A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
214,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
215,6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
216,,,,,,,,
217,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A \div 3y/2 \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
218,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
219,A = 4x^{2}y + 2xy + 6 \times 3y/2 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
220,A = 2/3y ( 4x^{2}y + 2xy + 6 ) \\ 8x^{2}/3 + 4x/3 + 4/y,0,1,1,0,0,0,0
221,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
222,A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
223,A = 4x^{2}y + 2xy + 6 \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
224,A = ( 4x^{2}y + 2xy + 6 ) \times 2/3y = 8x^{2}/3 + 4x/3 + 4,0,0,1,0,0,0,0
225,6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
226,A = 4x^{2}y + 2xy + 6 \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
227,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
228,3y/2 \times ( 4x^{2}y + 2xy + 6 ) = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
229,A = ( 4x^{2}y + 2xy + 6 ) \times 2/3y \\ 8x^{2}/3 + 4x/3 + 4/y,0,1,1,0,0,0,0
230,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) 2/3y \\ A = 8x^{2}/3 + 4x/3 + 4/y,0,1,1,0,0,0,0
231,,,,,,,,
232,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
233,,,,,,,,
234,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
235,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
236,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ 4x^{2}y + 2xy + 6 \times 3y/2 = ( 2x^{2}y + xy + 3 ) \times 3y = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
237,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
238,A = 3y/2 ( 4x^{2}y + 2xy + 6 ) = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
239,6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
240,,,,,,,,
241,6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
